Freq,Power,Theor.AR(1),chi2 80%,chi2 90%,chi2 95%,chi2 99%,chi2 crit.
0.041513,0.6762,0.92813,1.4262,1.9041,2.3666,3.4066,5.0364
0.041663,0.4135,0.92254,1.4176,1.8927,2.3524,3.3861,5.0061
0.041813,0.39223,0.91701,1.4091,1.8813,2.3383,3.3658,4.9761
0.041962,0.28861,0.91152,1.4007,1.8701,2.3243,3.3457,4.9463
0.042112,0.37249,0.90609,1.3923,1.8589,2.3104,3.3258,4.9168
0.042262,0.34052,0.9007,1.384,1.8479,2.2967,3.306,4.8876
0.042412,0.52972,0.89536,1.3758,1.8369,2.2831,3.2864,4.8586
0.042562,1.0363,0.89007,1.3677,1.8261,2.2696,3.267,4.8299
0.042712,1.4946,0.88482,1.3596,1.8153,2.2562,3.2477,4.8014
0.042862,1.4418,0.87962,1.3516,1.8046,2.2429,3.2286,4.7732
0.043012,1.0576,0.87447,1.3437,1.7941,2.2298,3.2097,4.7452
0.043161,0.42433,0.86936,1.3359,1.7836,2.2168,3.1909,4.7175
0.043311,0.21764,0.8643,1.3281,1.7732,2.2039,3.1724,4.69
0.043461,0.59216,0.85927,1.3204,1.7629,2.1911,3.1539,4.6628
0.043611,0.80637,0.8543,1.3127,1.7527,2.1784,3.1357,4.6358
0.043761,0.98156,0.84936,1.3051,1.7425,2.1658,3.1176,4.609
0.043911,0.71832,0.84447,1.2976,1.7325,2.1533,3.0996,4.5825
0.044061,0.73663,0.83962,1.2902,1.7226,2.1409,3.0818,4.5561
0.04421,1.0005,0.83482,1.2828,1.7127,2.1287,3.0642,4.5301
0.04436,1.558,0.83005,1.2755,1.7029,2.1165,3.0467,4.5042
0.04451,1.6472,0.82533,1.2682,1.6932,2.1045,3.0293,4.4786
0.04466,1.6181,0.82064,1.261,1.6836,2.0925,3.0121,4.4531
0.04481,1.3071,0.816,1.2539,1.6741,2.0807,2.9951,4.4279
0.04496,1.2836,0.81139,1.2468,1.6646,2.069,2.9782,4.4029
0.04511,1.4315,0.80683,1.2398,1.6553,2.0573,2.9614,4.3782
0.04526,1.5562,0.8023,1.2328,1.646,2.0458,2.9448,4.3536
0.045409,1.432,0.79781,1.2259,1.6368,2.0343,2.9283,4.3292
0.045559,1.3413,0.79336,1.2191,1.6276,2.023,2.912,4.3051
0.045709,1.1096,0.78895,1.2123,1.6186,2.0117,2.8958,4.2811
0.045859,1.0076,0.78457,1.2056,1.6096,2.0006,2.8797,4.2574
0.046009,0.81934,0.78023,1.1989,1.6007,1.9895,2.8638,4.2338
0.046159,0.50098,0.77593,1.1923,1.5919,1.9785,2.848,4.2105
0.046309,0.32168,0.77166,1.1857,1.5831,1.9676,2.8323,4.1873
0.046458,0.2629,0.76743,1.1792,1.5744,1.9568,2.8168,4.1644
0.046608,0.24176,0.76323,1.1728,1.5658,1.9461,2.8014,4.1416
0.046758,0.27626,0.75907,1.1664,1.5573,1.9355,2.7861,4.119
0.046908,0.22545,0.75494,1.16,1.5488,1.925,2.771,4.0966
0.047058,0.31354,0.75084,1.1538,1.5404,1.9146,2.7559,4.0744
0.047208,0.54819,0.74678,1.1475,1.5321,1.9042,2.741,4.0524
0.047358,0.72615,0.74276,1.1413,1.5238,1.8939,2.7263,4.0305
0.047508,0.62842,0.73876,1.1352,1.5156,1.8838,2.7116,4.0088
0.047657,0.41106,0.7348,1.1291,1.5075,1.8737,2.6971,3.9873
0.047807,0.12814,0.73087,1.1231,1.4995,1.8636,2.6826,3.966
0.047957,0.13106,0.72698,1.1171,1.4915,1.8537,2.6683,3.9449
0.048107,0.26861,0.72311,1.1111,1.4835,1.8439,2.6541,3.9239
0.048257,0.24758,0.71928,1.1052,1.4757,1.8341,2.6401,3.9031
0.048407,0.19998,0.71547,1.0994,1.4679,1.8244,2.6261,3.8825
0.048557,0.071544,0.7117,1.0936,1.4601,1.8148,2.6123,3.862
0.048706,0.16899,0.70796,1.0879,1.4524,1.8052,2.5985,3.8417
0.048856,0.30197,0.70425,1.0822,1.4448,1.7958,2.5849,3.8215
0.049006,0.41418,0.70057,1.0765,1.4373,1.7864,2.5714,3.8016
0.049156,0.2542,0.69691,1.0709,1.4298,1.777,2.558,3.7817
0.049306,0.31219,0.69329,1.0653,1.4223,1.7678,2.5447,3.7621
0.049456,0.31746,0.68969,1.0598,1.415,1.7586,2.5315,3.7426
0.049606,0.5609,0.68613,1.0543,1.4077,1.7495,2.5184,3.7232
0.049756,0.55872,0.68259,1.0489,1.4004,1.7405,2.5054,3.704
0.049905,0.33707,0.67908,1.0435,1.3932,1.7316,2.4925,3.685
0.050055,0.19098,0.6756,1.0381,1.3861,1.7227,2.4798,3.6661
0.050205,0.22453,0.67214,1.0328,1.379,1.7139,2.4671,3.6473
