:			-	-	-	-	-	-	
			A	B	C	D	E	F	
Black	Dot	328	0.03421	0.41481	0.93303	4.28		0.252050285951034	
Black	Dot	329	0.03387	0.41697	0.64728	4.17		0.142864093283731	
Black	Dot	330	0.03355	0.41889	0.36008	4.01		-0.0163220993835717	
Black	Dot	331	0.03324	0.42052	0.07487	3.94		-0.0855082920508739	
Black	Dot	332	0.03287	0.42181	6.07252	4		-0.0246944847181763	
Black	Dot	333	0.03248	0.42272	5.78575	3.86		-0.163880677385479	
Black	Dot	334	0.03211	0.42322	5.50298	3.9		-0.123066870052781	
Black	Dot	335	0.03169	0.4233	5.2148	3.99		-0.0322530627200834	
Black	Dot	336	0.03125	0.42294	4.92938	4.09		0.0685607446126138	
Black	Dot	337	0.03079	0.42215	4.64327	4.37		0.349374551945312	
Black	Dot	338	0.03033	0.42095	4.35493	4.55		0.530188359278009	
Black	Dot	339	0.02986	0.41936	4.06558	4.52		0.501002166610706	
Black	Dot	340	0.02927	0.41742	3.77627	4.42		0.401815973943404	
Black	Dot	341	0.02881	0.41518	3.4843	4.27		0.252629781276101	
Black	Dot	342	0.02821	0.4127	3.19046	4.29		0.273443588608799	
Black	Dot	343	0.02761	0.41003	2.89527	4.36		0.344257395941497	
Black	Dot	344	0.02704	0.40726	2.59848	4.37		0.355071203274195	
Black	Dot	345	0.0264	0.40444	2.299	4.29		0.275885010606892	
Black	Dot	346	0.02573	0.40167	1.99651	3.74		-0.27330118206041	
Black	Dot	347	0.02509	0.39901	1.69435	3.53		-0.482487374727713	
Black	Dot	348	0.02436	0.39655	1.38831	3.45		-0.561673567395015	
Black	Dot	349	0.02369	0.39435	1.07976	3.44		-0.570859760062318	
Black	Dot	350	0.02291	0.39248	0.77095	3.55		-0.46004595272962	
Black	Dot	351	0.02218	0.39101	0.46001	3.73		-0.279232145396923	
Black	Dot	352	0.02145	0.38996	0.14582	3.92		-0.088418338064225	
Black	Dot	353	0.0206	0.38938	6.11598	4.05		0.0423954692684725	
Black	Dot	354	0.01983	0.38928	5.79908	4.11		0.103209276601171	
Black	Dot	355	0.01902	0.38966	5.48521	4.19		0.184023083933868	
Black	Dot	356	0.01816	0.3905	5.164	4.17		0.164836891266565	
Black	Dot	357	0.01733	0.39177	4.8481	4.24		0.235650698599263	
Black	Dot	358	0.01647	0.39343	4.52951	4.37		0.366464505931961	
Black	Dot	359	0.0156	0.39542	4.20625	4.24		0.237278313264658	
Black	Dot	360	0.01472	0.39768	3.88783	4.05		0.0480921205973555	
Black	Dot	361	0.0138	0.40015	3.5646	3.88		-0.121094072069947	
Black	Dot	362	0.01299	0.40276	3.23958	3.8		-0.200280264737249	
Black	Dot	363	0.01203	0.40544	2.91298	3.85		-0.149466457404552	
Black	Dot	364	0.01116	0.40813	2.58192	4.22		0.221347349928146	
Black	Dot	365	0.01032	0.41076	2.24953	4.41		0.412161157260844	
Black	Dot	366	0.00942	0.41326	1.90671	4.4		0.402974964593541	
