#Age (Myr)	d18O(‰)
4.943	2.95
4.946	2.97
4.949	3.06
4.952	3.12
4.955	3.16
4.958	2.92
4.961	2.89
4.964	3.03
4.967	3.02
4.97	2.89
4.973	2.87
4.979	2.92
4.982	2.89
4.985	2.9
4.988	2.82
4.991	2.87
4.994	2.91
4.997	2.99
5	2.99
5.003	2.97
5.006	2.98
5.009	3.12
5.012	3.08
5.015	2.9
5.018	2.93
5.021	2.92
5.024	2.84
5.027	2.83
5.03	2.83
5.033	2.92
5.036	2.94
5.039	3.04
5.042	3.28
5.045	3.26
5.048	3.18
5.051	3.14
5.054	3.11
5.057	2.99
5.06	3.06
5.063	3.04
5.066	3
5.069	2.97
5.072	2.91
5.075	3.03
5.078	3.06
5.081	2.9
5.084	2.81
5.087	2.7
5.09	3.02
5.093	2.85
5.096	2.72
5.099	2.87
5.102	2.69
5.105	2.65
5.108	2.93
5.111	3.01
5.114	3.11
5.117	3.05
5.12	2.95
5.123	2.88
5.126	2.82
5.129	2.61
5.132	2.68
5.135	2.57
5.138	2.65
5.141	2.85
5.144	2.91
5.147	2.89
5.15	2.93
5.153	2.94
5.156	3.05
5.159	3.21
5.162	3.15
5.165	3.12
5.168	2.89
5.171	2.85
5.174	2.8
5.177	2.84
5.18	2.95
5.183	2.85
5.186	2.91
5.189	2.89
5.192	2.86
5.195	2.82
5.198	2.8
5.201	2.8
5.204	2.79
5.207	2.79
5.21	2.9
5.213	2.89
5.216	2.89
5.219	2.85
5.222	2.79
5.225	2.97
5.237	2.97
5.24	2.9
5.243	2.95
5.246	3.03
5.249	2.86
5.252	2.84
5.255	2.75
5.258	2.77
5.261	2.79
5.264	2.88
5.267	2.82
5.27	2.91
5.273	2.98
5.276	3.07
5.279	2.92
5.282	2.89
5.285	2.79
5.288	2.86
5.291	2.78
